,Province/State,Country/Region,Lat,Long,3/11/20,3/12/20,Delta,Percentage,date
390,"Fairfield, CT",US,41.25600000,-73.37090000,0,0,0,,2020-03-12 22:25:28.337717
391,"Litchfield, CT",US,41.78660000,-73.27650000,0,0,0,,2020-03-12 22:25:28.337717
392,"Orleans, LA",US,29.95110000,-90.07150000,0,0,0,,2020-03-12 22:25:28.337717
393,"Pennington, SD",US,43.89010000,-102.25480000,0,0,0,,2020-03-12 22:25:28.337717
394,"Beadle, SD",US,44.47970000,-98.22130000,0,0,0,,2020-03-12 22:25:28.337717
395,"Charles Mix, SD",US,43.09850000,-98.39650000,0,0,0,,2020-03-12 22:25:28.337717
396,"Davison, SD",US,43.72420000,-98.22130000,0,0,0,,2020-03-12 22:25:28.337717
397,"Minnehaha, SD",US,43.66320000,-96.83510000,0,0,0,,2020-03-12 22:25:28.337717
398,"Bon Homme, SD",US,42.98150000,-97.87220000,0,0,0,,2020-03-12 22:25:28.337717
399,"Socorro, NM",US,33.88370000,-106.72350000,0,0,0,,2020-03-12 22:25:28.337717
400,"Bernalillo, NM",US,35.01780000,-106.62910000,0,0,0,,2020-03-12 22:25:28.337717
401,"Oakland, MI",US,42.59220000,-83.33620000,0,0,0,,2020-03-12 22:25:28.337717
402,"Wayne, MI",US,42.27910000,-83.33620000,0,0,0,,2020-03-12 22:25:28.337717
403,"New Castle, DE",US,39.53930000,-75.66740000,0,0,0,,2020-03-12 22:25:28.337717
404,,Cuba,22.00000000,-80.00000000,0,3,3,inf,2020-03-12 22:25:28.337717
405,,Guyana,5.00000000,-58.75000000,0,1,1,inf,2020-03-12 22:25:28.337717
