date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Mon Mar  9 13:50:22 PDT 2020,1583787022,FIN,Finland,61.924,25.748,Finland,,True,True,True,,,,,,,Finland,Finland,,,,,,,,,Finland,30,0,1
Mon Mar  9 13:50:22 PDT 2020,1583787022,VNM,Vietnam,14.058,108.277,Vietnam,,True,True,True,,,,,,,Vietnam,Vietnam,,,right,,,,,,Vietnam,30,0,16
Mon Mar  9 13:50:22 PDT 2020,1583787022,PRT,Portugal,39.4,-8.224,Portugal,,True,True,True,,,,,,,Portugal,Portugal,,,,,,,,,Portugal,30,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CZE,Czech Republic,49.817,15.473,Czech Republic,,True,True,True,,,,,,,Czechia,Czech Republic,,,,,,,,,Czech Republic,31,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,LBN,Lebanon,33.855,35.862,Lebanon,,True,True,True,,,,,,,Lebanon,Lebanon,,,,,,,,,Lebanon,32,0,1
Mon Mar  9 13:50:22 PDT 2020,1583787022,CAN,,54.84,-125.1,Canada,British Columbia,True,,,,,,,,,,,,,,,,,,,British Columbia (Canada),32,1,4
Mon Mar  9 13:50:22 PDT 2020,1583787022,CAN,,51.4,-87.12,Canada,Ontario,True,,,,,,,,,,,,,,,,,,,Ontario (Canada),34,0,4
Mon Mar  9 13:50:22 PDT 2020,1583787022,SMR,San Marino,43.942,12.458,San Marino,,True,True,True,,,,,,,San Marino,San Marino,,,,,,,,,San Marino,36,1,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,ISR,Israel,33,34.85,Israel,,True,True,True,,,,,,,Israel,Israel,True,True,,,,,,,Israel,39,0,2
Mon Mar  9 13:50:22 PDT 2020,1583787022,IND,India,20.594,78.963,India,,True,True,True,,,,,,,India,India,True,True,top,,,,,,India,43,0,3
Mon Mar  9 13:50:22 PDT 2020,1583787022,ARE,U.A.E.,23.424,53.848,United Arab Emirates,,True,True,True,,,,,,,UAE,U.A.E.,,,,,,,,,United Arab Emirates,45,0,7
Mon Mar  9 13:50:22 PDT 2020,1583787022,TWN,Taiwan,23.698,120.961,Taiwan,Taiwan,True,True,False,,,,,,,Taiwan,Taiwan,,,top,,,,,,Taiwan (Taiwan),45,1,15
Mon Mar  9 13:50:22 PDT 2020,1583787022,AUS,,-32.74,145.56,Australia,New South Wales,True,,,,,,,,,,,,,,,,,,,New South Wales (Australia),48,3,4
