COUNTY,CONFIRMED
DOUGHERTY,1
ALLEGHENY,2
DOUGHERTY,1
SANTA CLARA,23
ALBANY,6
MECKLENBURG,2
BOULDER,2
BUTLER,2
CUYAHOGA,3
FRANKLIN,1
LORAIN,1
MEDINA,1
DALLAS,3
DOUGHERTY,3
WATAUGA,1
GARLAND,2
JEFFERSON,2
RAMSEY,4
OLMSTED,1
DAKOTA,1
HENNEPIN,6
WASHINGTON,1
WASECA,1
WAKE,3
JEFFERSON,1
WILSON,1
DAVIS,1
BENNINGTON,1
WINDSOR,1
CHITTENDEN,1
NEW CASTLE,1
WILLIAMSON,3
SUMMIT,6
UTAH,1
PASSAIC,3
LOS ANGELES,16
MORRIS,1
MIDDLESEX,1
UNION,3
ESSEX,4
MONMOUTH,3
OCEAN,1
BURLINGTON,1
HUDSON,5
BERGEN,1
EL PASO,1
COLLIN,1
DOUGHERTY,1
SAN LUIS OBISPO,1
ARAPAHOE,3
DENVER,4
DOUGLAS,4
EAGLE,4
EL PASO,1
GARFIELD,1
GUNNISON,2
JEFFERSON,3
WELD,2
UNKNOWN,1
CHAMPAIGN,1
CLINTON,1
WHITESIDE,1
WINNEBAGO,1
UNKNOWN,25
ARAPAHOE,2
CLAYTON,1
KERSHAW,1
HORRY,2
KERSHAW,2
ANDERSON,2
HORRY,1
GREENVILLE,1
JEFFERSON,1
CLARK,1
KING,32
CUMBERLAND,2
LINCOLN,1
CUMBERLAND,2
PHILADELPHIA,2
ROCKINGHAM,5
HILLSBOROUGH,1
PIERCE,3
CHESTER,2
KITSAP,2
ARLINGTON,1
VIRGINIA BEACH CITY,1
PRINCE WILLIAM,1
SNOHOMISH,21
PIMA,1
BERNALILLO,4
MILWAUKEE,1
KENT,1
UNKNOWN,11
TRAVIS,2
NASSAU,19
DENTON,1
DUTCHESS,3
ROCKLAND,1
FAIRFIELD,1
LITCHFIELD,3
NEW HAVEN,2
NEW YORK,61
WESTCHESTER,17
ORLEANS,10
JEFFERSON,2
SUFFOLK,6
SCHENECTADY,1
MONTGOMERY,1
GREENE,2
HOWARD,1
PUTNAM,2
JEFFERSON,1
YAMHILL,1
DESCHUTES,1
LINN,1
LEWIS,1
SKAGIT,1
YAKIMA,1
WHATCOM,1
LINCOLN,1
HONOLULU,1
MAUI,1
JEFFERSON,2
DOUGLAS,2
HONOLULU,1
JEFFERSON,6
LEE,1
SHELBY,2
TUSCALOOSA,1
CLAYTON,1
THURSTON,1
JOHNSON,1
WASHOE,4
BARTOW,1
